rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
37,34700,Food & Beverage,,30.0,Austria,,,Food & Beverage,Austria,,False,N,M,5/7/1992 0:00,Mateschitz,Mark,,4/4/2023 5:01,,,1992.0,5.0,7.0,118.06,1.5,446314739528.0,85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072
38,33400,Automotive,,54.0,China,,,Automotive,Hong Kong,,True,D,M,1/1/1969 0:00,Zeng,Robin,,4/4/2023 5:01,,,1969.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
39,32600,Fashion & Retail,,74.0,Japan,,,Fashion & Retail,Japan,,True,U,M,2/7/1949 0:00,Yanai,Tadashi,,4/4/2023 5:01,,,1949.0,2.0,7.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
40,32100,Diversified,,65.0,United Kingdom,,,Diversified,United States,,True,D,M,6/1/1957 0:00,Blavatnik,Len,,4/4/2023 5:01,,,1957.0,6.0,1.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
41,31600,Fashion & Retail,,74.0,United States,,,Fashion & Retail,France,,False,U,M,8/28/1948 0:00,Wertheimer,Alain,,4/4/2023 5:01,New York,Northeast,1948.0,8.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
41,31600,Fashion & Retail,,72.0,United States,,,Fashion & Retail,France,,False,U,M,1/9/1951 0:00,Wertheimer,Gerard,,4/4/2023 5:01,New York,Northeast,1951.0,1.0,9.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
43,31200,Logistics,,82.0,Switzerland,,,Logistics,Switzerland,,True,Split Family Fortune,M,6/27/1940 0:00,Aponte,Gianluigi,,4/4/2023 5:01,,,1940.0,6.0,27.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
43,31200,Logistics,,78.0,Switzerland,,,Logistics,Switzerland,,True,Split Family Fortune,F,3/26/1945 0:00,Aponte-Diamant,Rafaela,,4/4/2023 5:01,,,1945.0,3.0,26.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
45,30200,Technology,,43.0,China,,,Technology,China,,True,U,M,2/2/1980 0:00,Huang,Colin Zheng,,4/4/2023 5:01,,,1980.0,2.0,2.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
46,29700,Manufacturing,,87.0,Germany,,,Manufacturing,Germany,,True,U,M,4/20/1935 0:00,Wuerth,Reinhold,,4/4/2023 5:01,,,1935.0,4.0,20.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
47,29500,Real Estate,,95.0,Hong Kong,,,Real Estate,Hong Kong,,True,D,M,1/29/1928 0:00,Lee,Shau Kee,,4/4/2023 5:01,,,1928.0,1.0,29.0,,,,,,,,,,,
48,28500,Finance & Investments,,64.0,United States,,,Finance & Investments,United States,,True,U,M,7/17/1958 0:00,Yass,Jeff,,4/4/2023 5:01,Pennsylvania,Northeast,1958.0,7.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
49,28100,Finance & Investments,,84.0,United States,,,Finance & Investments,United States,,True,D,M,4/25/1938 0:00,Simons,Jim,,4/4/2023 5:01,New York,Northeast,1938.0,4.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
50,27800,Finance & Investments,,76.0,United States,,,Finance & Investments,United States,,True,D,M,2/14/1947 0:00,Schwarzman,Stephen,,4/4/2023 5:01,New York,Northeast,1947.0,2.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
51,27400,Automotive,,60.0,Germany,,,Automotive,Germany,,False,U,F,4/28/1962 0:00,Klatten,Susanne,,4/4/2023 5:01,,,1962.0,4.0,28.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
52,27000,Metals & Mining,,69.0,Australia,,,Metals & Mining,Australia,,False,D,F,2/9/1954 0:00,Rinehart,Gina,,4/4/2023 5:01,,,1954.0,2.0,9.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
53,26700,Technology,,51.0,China,,,Technology,China,,True,U,M,10/1/1971 0:00,Ding,William,,4/4/2023 5:01,,,1971.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
54,26600,Metals & Mining,,69.0,Mexico,,,Metals & Mining,Mexico,,False,D,M,10/26/1953 0:00,Larrea Mota Velasco,Germán,,4/4/2023 5:01,,,1953.0,10.0,26.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
55,25600,Technology,,77.0,India,,,Technology,India,,True,D,M,7/18/1945 0:00,Nadar,Shiv,,4/4/2023 5:01,,,1945.0,7.0,18.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
56,25500,Energy,,74.0,Indonesia,,,Energy,Indonesia,,True,U,M,4/17/1948 0:00,Low Tuck,Kwong,,4/4/2023 5:01,,,1948.0,4.0,17.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
57,25300,Finance & Investments,,78.0,United States,,,Finance & Investments,United States,,True,U,M,9/30/1944 0:00,Peterffy,Thomas,,4/4/2023 5:01,Florida,South,1944.0,9.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
58,25200,Metals & Mining,,51.0,United Arab Emirates,,,Metals & Mining,Russia,,True,U,M,3/8/1972 0:00,Melnichenko,Andrey,,4/4/2023 5:01,,,1972.0,3.0,8.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
59,24600,Automotive,,56.0,Germany,,,Automotive,Germany,,False,U,M,5/9/1966 0:00,Quandt,Stefan,,4/4/2023 5:01,,,1966.0,5.0,9.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
60,24400,Technology,,52.0,United States,,,Technology,United States,,False,D,F,4/7/1970 0:00,Scott,MacKenzie,,4/4/2023 5:01,Washington,West,1970.0,4.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
61,24200,Finance & Investments,,82.0,Indonesia,,,Finance & Investments,Indonesia,,False,U,M,1/1/1941 0:00,Hartono,R. Budi,,4/4/2023 5:01,,,1941.0,1.0,1.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
62,23700,Metals & Mining,,62.0,Russia,,,Metals & Mining,Russia,,True,U,M,1/3/1961 0:00,Potanin,Vladimir,,4/4/2023 5:01,,,1961.0,1.0,3.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
63,23500,Technology,,58.0,China,,,Technology,China,,True,U,M,9/10/1964 0:00,Ma,Jack,,4/4/2023 5:01,,,1964.0,9.0,10.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
64,23400,Manufacturing,,80.0,China,,,Manufacturing,China,,True,D,M,8/11/1942 0:00,He,Xiangjian,,4/4/2023 5:01,,,1942.0,8.0,11.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
65,23100,Metals & Mining,,80.0,Chile,,,Metals & Mining,Chile,,False,U,F,1/1/1943 0:00,Fontbona,Iris,,4/4/2023 5:01,,,1943.0,1.0,1.0,131.91,2.6,282318159745.0,88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969
65,23100,Manufacturing,,83.0,Indonesia,,,Manufacturing,Indonesia,,False,U,M,10/2/1939 0:00,Hartono,Michael,,4/4/2023 5:01,,,1939.0,10.0,2.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
67,22900,Manufacturing,,70.0,United Kingdom,,,Manufacturing,United Kingdom,,True,U,M,1/1/1953 0:00,Ratcliffe,James,,4/4/2023 5:01,,,1953.0,1.0,1.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
68,22600,Healthcare,,81.0,India,,,Healthcare,India,,False,D,M,5/11/1941 0:00,Poonawalla,Cyrus,,4/4/2023 5:01,,,1941.0,5.0,11.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
69,22400,Telecom,,65.0,Japan,,,Telecom,Japan,,True,U,M,8/11/1957 0:00,Son,Masayoshi,,4/4/2023 5:01,,,1957.0,8.0,11.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
70,22100,Metals & Mining,,66.0,Russia,,,Metals & Mining,Russia,,True,U,M,5/7/1956 0:00,Lisin,Vladimir,,4/4/2023 5:01,,,1956.0,5.0,7.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
71,22000,Food & Beverage,,52.0,France,,,Food & Beverage,France,,False,D,M,9/18/1970 0:00,Besnier,Emmanuel,,4/4/2023 5:01,,,1970.0,9.0,18.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
72,21600,Finance & Investments,,61.0,United States,,,Finance & Investments,United States,,False,U,F,12/19/1961 0:00,Johnson,Abigail,,4/4/2023 5:01,Massachusetts,Northeast,1961.0,12.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
72,21600,Energy,,67.0,Russia,,,Energy,Russia,,True,U,M,8/11/1955 0:00,Mikhelson,Leonid,,4/4/2023 5:01,,,1955.0,8.0,11.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
74,21200,Fashion & Retail,,36.0,United States,,,Fashion & Retail,United States,,False,U,M,9/19/1986 0:00,Walton,Lukas,,4/4/2023 5:01,Illinois,Midwest,1986.0,9.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
74,21200,Service,,52.0,China,,,Service,China,,True,D,M,10/1/1970 0:00,Wang,Wei,,4/4/2023 5:01,,,1970.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
76,21100,Technology,,60.0,United States,,,Technology,United States,,True,U,M,2/17/1963 0:00,Huang,Jensen,,4/4/2023 5:01,California,West,1963.0,2.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
77,21000,Fashion & Retail,,90.0,United States,,,Fashion & Retail,United States,,False,D,M,3/19/1933 0:00,Lauder,Leonard,,4/4/2023 5:01,New York,Northeast,1933.0,3.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
77,21000,Manufacturing,,77.0,Japan,,,Manufacturing,Japan,,True,D,M,6/10/1945 0:00,Takizaki,Takemitsu,,4/4/2023 5:01,,,1945.0,6.0,10.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
79,20900,Metals & Mining,,57.0,Russia,,,Metals & Mining,Russia,,True,U,M,9/26/1965 0:00,Mordashov,Alexey,,4/4/2023 5:01,,,1965.0,9.0,26.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
80,20500,Energy,,72.0,Russia,,,Energy,Russia,,True,U,M,9/1/1950 0:00,Alekperov,Vagit,,4/4/2023 5:01,,,1950.0,9.0,1.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
81,20200,Healthcare,,84.0,United States,,,Healthcare,United States,,True,D,M,8/12/1938 0:00,Frist,Thomas,,4/4/2023 5:01,Tennessee,South,1938.0,8.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
82,19600,Metals & Mining,,61.0,Australia,,,Metals & Mining,Australia,,True,U,M,11/18/1961 0:00,Forrest,Andrew,,4/4/2023 5:01,,,1961.0,11.0,18.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
83,19100,Finance & Investments,,73.0,United States,,,Finance & Investments,United States,,True,D,M,8/8/1949 0:00,Dalio,Ray,,4/4/2023 5:01,Connecticut,Northeast,1949.0,8.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
84,19000,Automotive,,59.0,China,,,Automotive,China,,True,D,M,6/1/1963 0:00,Li,Eric,,4/4/2023 5:01,,,1963.0,6.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
84,19000,Metals & Mining,,55.0,China,,,Metals & Mining,China,,True,U,M,3/1/1968 0:00,Wang,Wenyin,,4/4/2023 5:01,,,1968.0,3.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
86,18900,Diversified,,72.0,Monaco,,,Diversified,Israel,,False,U,M,6/2/1950 0:00,Ofer,Eyal,,4/4/2023 5:01,,,1950.0,6.0,2.0,,,7184844193.0,,,,,,38964.0,43.7384176,7.4246158
86,18900,Food & Beverage,,57.0,China,,,Food & Beverage,China,,True,D,M,4/17/1965 0:00,Qin,Yinglin,,4/4/2023 5:01,,,1965.0,4.0,17.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
88,18700,Automotive,,57.0,China,,,Automotive,China,,True,D,M,2/15/1966 0:00,Wang,Chuanfu,,4/4/2023 5:01,,,1966.0,2.0,15.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
89,18500,Energy,,77.0,United States,,,Energy,United States,,True,U,M,12/11/1945 0:00,Hamm,Harold,,4/4/2023 5:01,Oklahoma,South,1945.0,12.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
89,18500,Finance & Investments,,65.0,United States,,,Finance & Investments,United States,,True,U,M,9/11/1957 0:00,Tepper,David,,4/4/2023 5:01,Florida,South,1957.0,9.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
89,18500,Energy,,70.0,Russia,,,Energy,Russia,,True,U,M,11/9/1952 0:00,Timchenko,Gennady,,4/4/2023 5:01,,,1952.0,11.0,9.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
92,18000,Finance & Investments,,61.0,United States,,,Finance & Investments,United States,,True,D,M,1/17/1962 0:00,Gilbert,Daniel,,4/4/2023 5:01,Michigan,Midwest,1962.0,1.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
93,17700,Metals & Mining,,72.0,United Kingdom,,,Metals & Mining,India,,False,D,M,6/15/1950 0:00,Mittal,Lakshmi,,4/4/2023 5:01,,,1950.0,6.0,15.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
94,17500,Finance & Investments,,66.0,United States,,,Finance & Investments,United States,,True,U,M,6/11/1956 0:00,Cohen,Steve,,4/4/2023 5:01,Connecticut,Northeast,1956.0,6.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
94,17500,Finance & Investments,,87.0,United States,,,Finance & Investments,United States,,True,U,M,2/16/1936 0:00,Icahn,Carl,,4/4/2023 5:01,Florida,South,1936.0,2.0,16.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
94,17500,Metals & Mining,,73.0,India,,,Metals & Mining,India,,False,D,F,3/20/1950 0:00,Jindal,Savitri,,4/4/2023 5:01,,,1950.0,3.0,20.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
